OBJECTID,old_dam_name,osm_name,distance_m,Latitude,Longitude
9233,Low-Head Dam (14969),Camp McDowell Clear Creek Dam,2.1,34.01467,-87.3563
9240,Low-Head Dam (14981),Grass Lake Dam,1.1,44.59199,-85.848359
9242,Low-Head Dam (14979),Fishing Creek Dam,6.4,41.19441024,-76.38210708
9246,Low-Head Dam (14983),Big Creek Terminal Dam,48.0,41.78170968,-93.7410855
9254,Low-Head Dam (17115),Cane Creek Dam Number Fifteen,22.2,35.734419,-89.489097
9285,Low-Head Dam (16746),Dahlstrom Metalic Door Co Dam,3.1,42.10628706,-79.2198763
9332,Low-Head Dam (16761),Penfield Dam,1.7,43.33434403,-75.74909935
9336,Low-Head Dam (16769),Victory Mills Dam,6.5,43.08713413,-73.59338476
9340,Low-Head Dam (17160),Big Five Diversion Dam,3.4,40.05563759,-118.46741418
9409,Low-Head Dam (15063),Upper Knickerbocker Dam,4.4,40.33094967,-75.48065175
9411,Low-Head Dam (15062),Brey Dam,21.2,40.3251564,-75.47938429
9413,Low-Head Dam (15068),Brinson Millpond Dam,8.7,32.96899,-81.9985
9472,Low-Head Dam (16833),Blue Springs Power Plant Dam,6.0,40.13907527,-96.65461989
9528,Low-Head Dam (21462),Willow Mill - Hurlbut Dam,8.4,42.27600231,-73.28473694
9529,Low-Head Dam (21270),Vistron Dam,5.5,42.33021094,-72.67762868
9567,Low-Head Dam (17270),California Crossing Dam,4.9,32.8689229999999,-96.923645
9582,Low-Head Dam (21155),China Dam,9.5,41.92458665,-116.08668809
9583,Low-Head Dam (21169),Onota Lake Dam,4.4,42.47621083,-73.26715053
9584,Low-Head Dam (21170),Kendall Company Number 1 Dam,4.1,42.66244128,-72.71571441
9616,Low-Head Dam (21193),Upper Spectacle Pond Dam,18.0,42.17705375,-73.11777661
9619,Low-Head Dam (21194),Pontoosuc Lake Dam,2.5,42.48423301,-73.24645798
9674,Low-Head Dam (21251),South Deerfield Water Supply Dam,10.8,42.46685602,-72.65349613
9678,Low-Head Dam (16670),Korty Diversion,39.1,41.11572362,-101.473755
9692,Low-Head Dam (17012),Issaqueena Lake Dam,3.0,34.7349763,-82.8642871
9695,Low-Head Dam (17014),Upper Pacolet Dam,27.0,34.92179337,-81.74613594
9699,Low-Head Dam (17016),Lower Pacolet Dam,13.7,34.920381,-81.7373597
9720,Low-Head Dam (22726),Reed Dam,1.0,40.28076128,-75.16149178
9725,Low-Head Dam (22733),Sycamore Mills Dam,4.1,39.94659618,-75.42359698
9744,Low-Head Dam (22977),Rock Rapids Milldam,0.2,43.43710205,-96.16693488
9777,Low-Head Dam (21767),Shawville Powerplant Dam,2.9,41.06895659,-78.36498922
9805,Low-Head Dam (21042),Gardner Falls Main Dam,11.5,42.59156454,-72.73010955
9810,Low-Head Dam (21546),Oakland Mills Dam,18.7,40.93494312,-91.61549454
9816,Low-Head Dam (21549),Ocqueoc River Weir,4.6,45.480858,-84.109935
9817,Low-Head Dam (21769),Wilborn Lake Dam,4.8,33.32369,-86.8574
9818,Low-Head Dam (21771),Shell Rock Milldam,4.9,42.71188777,-92.58218158
9849,Low-Head Dam (21873),Steers Dam,11.6,37.12966409,-77.48759455
9858,Low-Head Dam (21557),Bugbee Pond Dam,24.8,42.88008395,-73.07756197
9876,Low-Head Dam (21562),Brandon Falls,1.3,43.7993281,-73.08802645
9899,Low-Head Dam (21611),O'Quinn Pond Dam,12.4,33.05008,-83.1014
9902,Low-Head Dam (21616),Otranto Dam,9.0,43.4575775,-92.9815171
9905,Low-Head Dam (21618),Otter Lake Dam,3.9,46.929773,-88.553663
9907,Low-Head Dam (21619),Oxford Mill Dam,42.3,41.97168663,-90.96131829
9917,Low-Head Dam (21973),Hickory Park Dam,43.1,40.31702841,-75.56777699
9963,Low-Head Dam (21821),Buchanan Dam,21.0,41.839223,-86.351139
9966,Low-Head Dam (21823),Constantine Dam,23.7,41.847266,-85.668427
9967,Low-Head Dam (21825),Stacyville Dam,5.2,43.43467014,-92.77863986
9992,Low-Head Dam (21681),Crystal Falls Dam,22.8,46.106585,-88.334306
10006,Low-Head Dam (22061),Thompson Dam,4.3,40.16066455,-75.23652566
10009,Low-Head Dam (22063),LaBarge Dam,16.6,42.810944,-85.484048
10010,Low-Head Dam (22066),Four Mile Dam,32.5,45.093011,-83.502646
10035,Low-Head Dam (22073),Smallwood Dam,7.5,43.959915,-84.335805
10071,Low-Head Dam (23736),South Boulder Diversion Dam,10.2,39.8295,-105.2322
10083,Low-Head Dam (22837),Billingsley Number Two Dam,11.3,34.22828368,-112.85719969
10093,Low-Head Dam (21726),Mill Club Dam,21.5,40.03271508,-75.40159141
10122,Low-Head Dam (23813),Stice Shoal Dam,21.9,35.39486,-81.5531
10142,Low-Head Dam (22867),Standish Dam,3.7,42.014766,-83.933928
10145,Low-Head Dam (22873),Brooklyn Dam,1.0,42.109492,-84.245668
10165,Low-Head Dam (22878),Roach Lake Dam,24.6,30.33949749,-99.62461038
10171,Low-Head Dam (21738),Titus Wing Dam,9.3,40.30627267,-75.9066702
10177,Low-Head Dam (25688),Link River Dam,5.9,42.23392642,-121.8020383
10245,Low-Head Dam (22961),Pohopoco Creek Dam,3.3,40.81773868,-75.67397355
10246,Low-Head Dam (22963),Diversion Dam,2.0,42.51439204,-107.8787212
10252,Low-Head Dam (22968),Robeson-Vandaren Mill Upper Dam,3.9,40.01647891,-75.20564829
10253,Low-Head Dam (22970),Rock Creek Lake Dam,12.7,41.73698341,-92.85194656
